# FF7 Virtual Address Mapping for HEXT Patching
# Generated: 2026-01-02 20:49:47 JST
# Session: 93c10c47-4dd6-41a6-aa90-73c6b0def3b1
#
# Virtual Address Calculation:
# VA = (FileOffset - 0x3B8A00) + 0x3BA000 + 0x400000
#
# Format: INDEX | FILE_OFFSET | VIRTUAL_ADDRESS | LENGTH | TYPE
# ================================================================================

305 | 0x0051EFDC | 0x009205DC |  20 | DEF
306 | 0x0051EFF0 | 0x009205F0 |  20 | DEF
307 | 0x0051F004 | 0x00920604 |  20 | DEF
308 | 0x0051F018 | 0x00920618 |  20 | DEF
309 | 0x0051F02C | 0x0092062C |  20 | DEF
310 | 0x0051F040 | 0x00920640 |  20 | DEF
311 | 0x0051F054 | 0x00920654 |  20 | DEF
312 | 0x0051F068 | 0x00920668 |  20 | DEF
313 | 0x0051F07C | 0x0092067C |  20 | DEF
314 | 0x0051F090 | 0x00920690 |  20 | DEF
315 | 0x0051F0A4 | 0x009206A4 |  20 | DEF
316 | 0x0051F0B8 | 0x009206B8 |  20 | DEF
317 | 0x0051F0CC | 0x009206CC |  20 | DEF
318 | 0x0051F0E0 | 0x009206E0 |  20 | DEF
319 | 0x0051F0F4 | 0x009206F4 |  20 | DEF
320 | 0x0051F108 | 0x00920708 |  20 | DEF
321 | 0x0051F130 | 0x00920730 |  20 | DEF
322 | 0x0051F144 | 0x00920744 |  20 | DEF
323 | 0x0051F158 | 0x00920758 |  20 | DEF
324 | 0x0051F16C | 0x0092076C |  20 | DEF
325 | 0x0051F180 | 0x00920780 |  20 | DEF
326 | 0x0051F194 | 0x00920794 |  20 | DEF
327 | 0x0051F1A8 | 0x009207A8 |  20 | DEF
328 | 0x0051F1C0 | 0x009207C0 |  15 | DEF
329 | 0x0051F1CF | 0x009207CF |  15 | DEF
330 | 0x0051F1DE | 0x009207DE |  15 | DEF
331 | 0x0051F1ED | 0x009207ED |  15 | DEF
332 | 0x0051F1FC | 0x009207FC |  15 | DEF
333 | 0x0051F20B | 0x0092080B |  15 | DEF
334 | 0x0051F21A | 0x0092081A |  15 | DEF
335 | 0x0051F256 | 0x00920856 |  15 | DEF
336 | 0x0051F265 | 0x00920865 |  15 | DEF
337 | 0x0051F274 | 0x00920874 |  15 | DEF
338 | 0x0051F283 | 0x00920883 |  15 | DEF
339 | 0x0051F292 | 0x00920892 |  15 | DEF
340 | 0x0051F2A1 | 0x009208A1 |  15 | DEF
341 | 0x0051F2B0 | 0x009208B0 |  15 | DEF
342 | 0x0051F2BF | 0x009208BF |  15 | DEF
343 | 0x0051F2CE | 0x009208CE |  15 | DEF
344 | 0x0051F2DD | 0x009208DD |  15 | DEF
345 | 0x0051F2EC | 0x009208EC |  15 | DEF
346 | 0x0051F2FB | 0x009208FB |  15 | DEF
347 | 0x0051F30A | 0x0092090A |  15 | DEF
348 | 0x0051F319 | 0x00920919 |  15 | DEF
349 | 0x0051F328 | 0x00920928 |  15 | DEF
350 | 0x0051F337 | 0x00920937 |  15 | DEF
351 | 0x0051F346 | 0x00920946 |  15 | DEF
352 | 0x0051F3A8 | 0x009209A8 |  12 | DEF
353 | 0x0051F3B4 | 0x009209B4 |  12 | DEF
354 | 0x0051F3C0 | 0x009209C0 |  12 | DEF
355 | 0x0051F420 | 0x00920A20 |  12 | DEF
356 | 0x0051F42C | 0x00920A2C |  12 | DEF
357 | 0x0051F438 | 0x00920A38 |  12 | DEF
358 | 0x0051F444 | 0x00920A44 |  12 | DEF
359 | 0x0051F450 | 0x00920A50 |  12 | DEF
360 | 0x0051F45C | 0x00920A5C |  12 | DEF
361 | 0x0051F468 | 0x00920A68 |  12 | DEF
362 | 0x0051F474 | 0x00920A74 |  12 | DEF
363 | 0x0051F480 | 0x00920A80 |  12 | DEF
364 | 0x0051F48C | 0x00920A8C |  12 | DEF
365 | 0x0051F498 | 0x00920A98 |  12 | DEF
366 | 0x0051F4A4 | 0x00920AA4 |  12 | DEF
367 | 0x0051F4B0 | 0x00920AB0 |  12 | DEF
368 | 0x0051F518 | 0x00920B18 |  36 | DEF
369 | 0x0051F53C | 0x00920B3C |  36 | DEF
370 | 0x0051F560 | 0x00920B60 |  36 | DEF
371 | 0x0051F584 | 0x00920B84 |  36 | DEF
372 | 0x0051F5A8 | 0x00920BA8 |  20 | DEF
373 | 0x0051F5BC | 0x00920BBC |  20 | DEF
374 | 0x0051F5D0 | 0x00920BD0 |  20 | DEF
375 | 0x0051F5E4 | 0x00920BE4 |  20 | DEF
376 | 0x0051F5F8 | 0x00920BF8 |  20 | DEF
377 | 0x0051F60C | 0x00920C0C |  20 | DEF
378 | 0x0051F634 | 0x00920C34 |  20 | DEF
379 | 0x0051F648 | 0x00920C48 |  20 | DEF
380 | 0x0051F65C | 0x00920C5C |  20 | DEF
381 | 0x0051F670 | 0x00920C70 |  20 | DEF
382 | 0x0051F684 | 0x00920C84 |  20 | DEF
383 | 0x0051F698 | 0x00920C98 |  20 | DEF
