Address (Hex),Address (Dec),Primary Purpose,Categories,Min Value,Max Value,Occurrences,Example Values
71EB6A,7465834,sell materia - purple unique ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71EB6F,7465839,sell materia - purple unique ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71EB8F,7465871,sell materia - blue/purple hpmp/underwater ability Y-Axis,"MateriaMenu, PositionY",43,43,1,2B
71EB94,7465876,sell materia - blue/purple hpmp/underwater ability X-Axis,"MateriaMenu, PositionX",17,17,1,11
71EE6C,7466604,sell materia - equip effect - Y-Axis,"EquipMenu, MateriaMenu, PositionY",48,48,1,30
71EE72,7466610,sell materia - equip effect - X-Axis,"EquipMenu, MateriaMenu, PositionX",63,63,1,3F
71EE9A,7466650,sell materia - equip effect + Y-Axis,"EquipMenu, MateriaMenu, PositionY",48,48,1,30
71EEA0,7466656,sell materia - equip effect + X-Axis,"EquipMenu, MateriaMenu, PositionX",63,63,1,3F
71EEDD,7466717,sell materia - equip effect numbers Y-Axis,"EquipMenu, MateriaMenu, PositionY",48,48,1,30
71EEE3,7466723,sell materia - equip effect numbers X-Axis,"EquipMenu, MateriaMenu, PositionX",75,75,1,4B
71EF0D,7466765,sell materia - equip effect words Y-Axis,"EquipMenu, MateriaMenu, PositionY",43,43,1,2B
71EF13,7466771,sell materia - equip effect words X-Axis,"EquipMenu, MateriaMenu, PositionX",237,237,1,ED
71EF39,7466809,sell materia - equip effect % Y-Axis,"EquipMenu, MateriaMenu, PositionY",48,48,1,30
71EF3F,7466815,sell materia - equip effect % X-Axis,"EquipMenu, MateriaMenu, PositionX",97,97,1,61
71FB9E,7469982,Materia slots BG Width,"MateriaMenu, Width",0,0,1,00 00
71FBA4,7469988,Materia slots BG Height,"Height, MateriaMenu",0,0,1,00 00
720802,7473154,save/load avatars Y-Axis,"Avatar, PositionY, SaveLoadMenu",19,19,1,13
720809,7473161,save/load avatars spacing X-Axis,"Avatar, PositionX, SaveLoadMenu, Spacing",94,94,1,5E
72080C,7473164,save/load avatars X-Axis,"Avatar, PositionX, SaveLoadMenu",41,41,1,29
72083F,7473215,save/load level number Y-Axis,"PositionY, SaveLoadMenu",55,55,1,37
72086D,7473261,save/load level ':' Y-Axis,"PositionY, SaveLoadMenu",18,18,1,12
720874,7473268,save/load level ':' X-Axis,"PositionX, SaveLoadMenu",114,114,1,72
72089C,7473308,save/load level time hour value Y-Axis,"PositionY, SaveLoadMenu",16,16,1,10
7208A3,7473315,save/load level time hour value X-Axis,"PositionX, SaveLoadMenu",83,83,1,53
7208A6,7473318,save/load level time hour leading 0s remove,SaveLoadMenu,142,143,1,8F 8E
7208CB,7473355,save/load level time minute value Y-Axis,"PositionY, SaveLoadMenu",16,16,1,10
7208D2,7473362,save/load level time minute value X-Axis,"PositionX, SaveLoadMenu",122,122,1,7a
7208F4,7473396,save/load level gil value Y-Axis,"PositionY, SaveLoadMenu",46,46,1,2E
7208FB,7473403,save/load level gil value X-Axis,"PositionX, SaveLoadMenu",34,34,1,22
720916,7473430,save/load level WORD Y-Axis,"PositionY, SaveLoadMenu",50,50,1,32
720938,7473464,save/load name Y-Axis,"PositionY, SaveLoadMenu",20,20,1,14
72093B,7473467,save/load name X-Axis,"PositionX, SaveLoadMenu",96,96,1,60
7213A5,7476133,load save select cursor spacing X-Axis,"Cursor, PositionX, SaveLoadMenu, Spacing",86,96,2,60; 56
7213BD,7476157,load select text Y-Axis,"PositionY, SaveLoadMenu, Text",10,10,1,0A
7213BF,7476159,load select text X-Axis,"PositionX, SaveLoadMenu, Text",11,11,1,0B
721424,7476260,load save select box text Y-Axis,"Box, PositionY, SaveLoadMenu, Text",10,10,1,0A
721433,7476275,load save select box text X-Axis,"Box, PositionX, SaveLoadMenu, Text",16,35,2,10; 23
7214DD,7476445,save/load cursor Y-Axis,"Cursor, PositionY, SaveLoadMenu",110,110,1,6E
7214E0,7476448,save/load cursor X-Axis,"Cursor, PositionX, SaveLoadMenu",0,0,1,00
72160E,7476750,save/load select text Y-Axis,"PositionY, SaveLoadMenu, Text",10,10,1,0A
721610,7476752,save/load select text X-Axis,"PositionX, SaveLoadMenu, Text",11,11,1,0B
721625,7476773,save/load game WORD X-Axis,"PositionX, SaveLoadMenu",1,96,1,60 01
