index,func_ptr,func_rva,dispatch_key,key_hex,ffnx_hook_name
295,0x7ff628e2ac60,0xbac60,4273360,0x4134d0,
296,0x7ff628e2aff0,0xbaff0,4273424,0x413510,
297,0x7ff628e2b3b0,0xbb3b0,4273536,0x413580,
298,0x7ff628e2b620,0xbb620,4273696,0x413620,
299,0x7ff628e2b9f0,0xbb9f0,4273760,0x413660,
300,0x7ff628e2bb10,0xbbb10,4274496,0x413940,
301,0x7ff628e2cb90,0xbcb90,4274544,0x413970,
302,0x7ff628e2cca0,0xbcca0,4275168,0x413be0,
303,0x7ff628e2dd30,0xbdd30,4275584,0x413d80,
304,0x7ff628e2e510,0xbe510,4275888,0x413eb0,
305,0x7ff628e2ee40,0xbee40,4276208,0x413ff0,
306,0x7ff628e2f790,0xbf790,4276272,0x414030,
307,0x7ff628e2f960,0xbf960,4276384,0x4140a0,
308,0x7ff628e2fbd0,0xbfbd0,4276528,0x414130,
309,0x7ff628e2ff10,0xbff10,4276592,0x414170,
310,0x7ff628e30090,0xc0090,4276720,0x4141f0,
311,0x7ff628e303d0,0xc03d0,4277216,0x4143e0,
312,0x7ff628e31210,0xc1210,4277280,0x414420,
313,0x7ff628e31380,0xc1380,4277424,0x4144b0,
314,0x7ff628e31950,0xc1950,4277488,0x4144f0,
315,0x7ff628e31b40,0xc1b40,4277616,0x414570,
316,0x7ff628e32040,0xc2040,4278336,0x414840,
317,0x7ff628e33250,0xc3250,4278864,0x414a50,
318,0x7ff628e33fa0,0xc3fa0,4278992,0x414ad0,
319,0x7ff628e34330,0xc4330,4279104,0x414b40,
320,0x7ff628e34660,0xc4660,4279536,0x414cf0,
321,0x7ff628e353e0,0xc53e0,4279744,0x414dc0,
322,0x7ff628e35800,0xc5800,4279824,0x414e10,
323,0x7ff628e35c90,0xc5c90,4280032,0x414ee0,
324,0x7ff628e35ce0,0xc5ce0,4280039,0x414ee7,
325,0x7ff628dc6040,0x56040,4280044,0x414eec,
326,0x7ff628dc6040,0x56040,4280064,0x414f00,
327,0x7ff628e35d50,0xc5d50,4280196,0x414f84,
328,0x7ff628e35ef0,0xc5ef0,4280881,0x415231,
329,0x7ff628e36f90,0xc6f90,4286869,0x416995,
330,0x7ff628e40470,0xd0470,4290393,0x417759,
331,0x7ff628e40480,0xd0480,4291148,0x417a4c,
332,0x7ff628e40490,0xd0490,4291248,0x417ab0,
333,0x7ff628e40720,0xd0720,4291506,0x417bb2,
334,0x7ff628e40730,0xd0730,4291650,0x417c42,
335,0x7ff628e40740,0xd0740,4292409,0x417f39,
336,0x7ff628e419a0,0xd19a0,4294063,0x4185af,
337,0x7ff628e419b0,0xd19b0,4294163,0x418613,
338,0x7ff628e41d00,0xd1d00,4294326,0x4186b6,
339,0x7ff628e41d10,0xd1d10,4294343,0x4186c7,
340,0x7ff628e41da0,0xd1da0,4294353,0x4186d1,
341,0x7ff628e41e20,0xd1e20,4294368,0x4186e0,
342,0x7ff628e41ea0,0xd1ea0,4294803,0x418893,
343,0x7ff628e42760,0xd2760,4295111,0x4189c7,
344,0x7ff628e42e30,0xd2e30,4295732,0x418c34,
345,0x7ff628e43da0,0xd3da0,4295807,0x418c7f,
346,0x7ff628e43fc0,0xd3fc0,4295884,0x418ccc,
347,0x7ff628e441b0,0xd41b0,4295984,0x418d30,
348,0x7ff628e44440,0xd4440,4296055,0x418d77,
349,0x7ff628e44640,0xd4640,4296148,0x418dd4,
350,0x7ff628e448b0,0xd48b0,4297109,0x419195,
351,0x7ff628e45db0,0xd5db0,4297232,0x419210,
352,0x7ff628e46050,0xd6050,4297433,0x4192d9,
353,0x7ff628e46700,0xd6700,4297568,0x419360,
354,0x7ff628e46a70,0xd6a70,4297593,0x419379,
355,0x7ff628e46af0,0xd6af0,4297666,0x4193c2,
356,0x7ff628e46c90,0xd6c90,4297794,0x419442,
357,0x7ff628e46fb0,0xd6fb0,4297815,0x419457,
358,0x7ff628e47090,0xd7090,4297873,0x419491,
359,0x7ff628e47250,0xd7250,4297912,0x4194b8,
360,0x7ff628e473b0,0xd73b0,4298300,0x41963c,
361,0x7ff628e47bd0,0xd7bd0,4299336,0x419a48,
362,0x7ff628e48f60,0xd8f60,4299407,0x419a8f,
363,0x7ff628e49160,0xd9160,4300214,0x419db6,
364,0x7ff628e4a240,0xda240,4300252,0x419ddc,
365,0x7ff628e4a3b0,0xda3b0,4300368,0x419e50,
366,0x7ff628e4a620,0xda620,4300381,0x419e5d,
367,0x7ff628e4a6b0,0xda6b0,4300458,0x419eaa,
368,0x7ff628e4a880,0xda880,4300535,0x419ef7,
369,0x7ff628e4aa50,0xdaa50,4300689,0x419f91,
370,0x7ff628e4ad90,0xdad90,4300817,0x41a011,
371,0x7ff628e4b0b0,0xdb0b0,4300944,0x41a090,
372,0x7ff628e4b3d0,0xdb3d0,4300964,0x41a0a4,
373,0x7ff628e4b480,0xdb480,4301004,0x41a0cc,
374,0x7ff628e4b5c0,0xdb5c0,4301137,0x41a151,
375,0x7ff628e4b8c0,0xdb8c0,4301185,0x41a181,
376,0x7ff628e4ba40,0xdba40,4301205,0x41a195,
377,0x7ff628e4baf0,0xdbaf0,4301232,0x41a1b0,
378,0x7ff628e4bbd0,0xdbbd0,4301332,0x41a214,
379,0x7ff628e4bda0,0xdbda0,4301342,0x41a21e,
380,0x7ff628e4be10,0xdbe10,4302831,0x41a7ef,
381,0x7ff628e4d110,0xdd110,4302888,0x41a828,
382,0x7ff628e4d2c0,0xdd2c0,4303213,0x41a96d,
383,0x7ff628e4d940,0xdd940,4303455,0x41aa5f,
384,0x7ff628e4deb0,0xddeb0,4303719,0x41ab67,
385,0x7ff628e4e400,0xde400,4303732,0x41ab74,
386,0x7ff628e4e4a0,0xde4a0,4303745,0x41ab81,
387,0x7ff628e4e540,0xde540,4304203,0x41ad4b,
388,0x7ff628e4ecf0,0xdecf0,4305039,0x41b08f,
389,0x7ff628e4fe60,0xdfe60,4305049,0x41b099,
390,0x7ff628e4fee0,0xdfee0,4305102,0x41b0ce,
391,0x7ff628e50110,0xe0110,4305112,0x41b0d8,
392,0x7ff628e50190,0xe0190,4305134,0x41b0ee,
393,0x7ff628e50250,0xe0250,4305160,0x41b108,
394,0x7ff628e50340,0xe0340,4305291,0x41b18b,
395,0x7ff628e504e0,0xe04e0,4305336,0x41b1b8,
396,0x7ff628e505a0,0xe05a0,4305451,0x41b22b,
397,0x7ff628e507e0,0xe07e0,4305501,0x41b25d,
398,0x7ff628e50930,0xe0930,4305511,0x41b267,
399,0x7ff628e509a0,0xe09a0,4305624,0x41b2d8,
400,0x7ff628e50c90,0xe0c90,4305664,0x41b300,
401,0x7ff628e50d10,0xe0d10,4306295,0x41b577,
402,0x7ff628e51630,0xe1630,4307069,0x41b87d,
403,0x7ff628e52610,0xe2610,4307155,0x41b8d3,
404,0x7ff628e52860,0xe2860,4307301,0x41b965,
405,0x7ff628e52af0,0xe2af0,4307635,0x41bab3,
406,0x7ff628e533f0,0xe33f0,4309179,0x41c0bb,
407,0x7ff628e55990,0xe5990,4312242,0x41ccb2,
408,0x7ff628e58250,0xe8250,4312365,0x41cd2d,
409,0x7ff628e58700,0xe8700,4312836,0x41cf04,
410,0x7ff628dc6040,0x56040,4312848,0x41cf10,
411,0x7ff628e592f0,0xe92f0,4313232,0x41d090,
412,0x7ff628e59b40,0xe9b40,4313610,0x41d20a,
413,0x7ff628e5a350,0xea350,4313829,0x41d2e5,
414,0x7ff628e5a7a0,0xea7a0,4313856,0x41d300,
415,0x7ff628e5a850,0xea850,4314480,0x41d570,
416,0x7ff628e5b110,0xeb110,4314605,0x41d5ed,
417,0x7ff628e5b310,0xeb310,4314871,0x41d6f7,
